id, title, text, subject, date
96, "Quarterly Revenue Increases", "Sales growth outpaces expectations", business, 2024-04-19
97, "Fashion Week Concludes", "Designers present new collections", entertainment, 2024-04-20
98, "Archaeological Dig Yields Artifacts", "Excavation uncovers treasures", science, 2024-04-21
99, "Civil Rights Bill Advances", "Legislation moves through committee", politics, 2024-04-22
100, "International Forum Addresses Issues", "Global leaders discuss cooperation", world, 2024-04-23
101, "Financial Services Report Released", "Sector analysis shows health", business, 2024-04-24
102, "Comedy Show Benefits Charity", "Entertainer raises funds for cause", entertainment, 2024-04-25
103, "Biomedical Research Initiative Launched", "Institution announces new program", science, 2024-04-26
104, "Budget Proposal Submitted", "Executive branch outlines spending", politics, 2024-04-27
105, "Disaster Recovery Progresses", "Region rebuilds infrastructure", world, 2024-04-28
